screen_name,user_tweeted,user_retweeted,user_favourited,user_replied,likes_per_tweet,retweets_per_tweet,lists_per_user,follower_friend_ratio,tweet_frequency,favourite_tweet_ratio,age_of_account_in_days,sources_count,urls_count,cdn_content_in_kb,source_identity
12numaraorg, 19, 8, 1576.2222222222222, 14, 0.0, 0.0, 0.745207176655095, 1558.898685313462, 85.33151664740944, 0.0, 1744.4184490740743, 2, 11, 0.9035803439586817,[1;2]
20m, 33, 3, 1108.4444444444443, 12, 0.0, 0.0, 5.044346812678385, 22.15038438633742, 56.13069376668419, 0.0, 2551.909340277778, 3, 36, 0.4343588649288728,[3;4;1]
24h_tve, 34, 6, 285.275, 17, 0.0, 0.0, 2.7604637859924965, 11418.184970735789, 56.15640031418068, 0.0, 2517.6180902777774, 2, 38, 0.11331146733558965,[3;0]
3freta_, 7, 38, 3130.2, 45, 0.0, 0.0, 0.4951730487718003, 1.9762632547556602, 31.451843892484426, 0.0, 1485.2354282407407, 1, 14, 2.107544662941226,[2]
44II4, 0, 355, 5.0, 355, 0.0, 0.0, 0.6690848483418804, 1.7980352633911585, 147.71846958654297, 0.0, 1581.3699652777777, 2, 264, 0.0031618154573472743,[2]
488mt, 0, 6, 4.666666666666667, 6, 0.0, 0.0, 0.7662613485894517, 22.00251923725114, 30.083529412271798, 0.0, 2456.2140046296295, 1, 5, 0.0018999430252700435,[2]
79safari, 1, 0, 971.0, 0, 0.0, 0.0, 0.38702007263480886, 1.1451318890010989, 149.97477837939118, 0.0, 1111.0534837962962, 1, 0, 0.8739453268102312,[0]
7forluckyApril, 2, 1, 6259.333333333333, 0, 0.0, 0.0, 0.13041610528017217, 12.747271686724867, 35.02647292026952, 0.0, 1072.1397685185186, 2, 3, 5.838169161454082,[2]
90o0_, 0, 4, 16.0, 4, 0.0, 0.0, 0.5396852318759197, 2.1379995968691716, 21.383996983849, 0.0, 1433.0118981481482, 1, 2, 0.011165294594327144,[2]
911well, 21, 6, 86070.44444444444, 5, 0.0, 0.0, 2.035384114819804, 3.1137114086158926, 28.904991442557307, 0.0, 1697.9055555555553, 3, 27, 50.692127228644445,[2;4;0]
A88_88_88A, 37, 78, 10844.191304347825, 89, 0.0, 0.0, 0.20885575846956653, 30.56343717185944, 343.1009182682669, 0.0, 713.0196875, 1, 31, 15.20882451699179,[2]
AJENews, 16, 2, 41.388888888888886, 2, 0.0, 0.0, 6.032949960200621, 2795.124616329036, 27.786550489945917, 0.0, 2652.096736111111, 2, 18, 0.015606100759951645,[4;1]
ALNJLA_, 1, 0, 35.0, 0, 0.0, 0.0, 0.5500123253296194, 1.1713584162125454, 44.69407848108562, 0.0, 1299.9708680555557, 1, 0, 0.02692368026089046,[2]
ASOS, 16, 4, 8732.15, 13, 0.0, 0.0, 1.8392303815673159, 216.1344049870027, 70.31334794889663, 0.0, 2806.8503472222224, 2, 14, 3.1110137413067656,[4;0]
ActualidadRT, 71, 3, 9.594594594594595, 4, 0.0, 0.0, 3.5304346090025724, 13412.71160946756, 134.54257173701023, 0.0, 2284.1679166666668, 2, 74, 0.004200476910907752,[3;1]
AlArabiya_EGY, 10, 0, 0.0, 0, 0.0, 0.0, 0.9447027447895515, 26571.61388888889, 16.927198285742172, 0.0, 1456.0355555555554, 4, 10, 0.0,[0;1;2]
AlArabiya_Iraq, 1, 0, 0.0, 0, 0.0, 0.0, 0.35007796947878816, 25619.61111111111, 11.366850877536615, 0.0, 1825.3076620370368, 1, 1, 0.0,[0]
Almuwaizri, 0, 1, 761.0, 1, 0.0, 0.0, 0.4545191573240147, 9.034934121767087, 42.59826174715494, 0.0, 1762.3019560185187, 1, 1, 0.4318215714401688,[0]
AlwatanSA, 18, 2, 4.0, 0, 0.0, 0.0, 1.1262157601148262, 538819.65, 35.46054572837873, 0.0, 1927.8372222222224, 4, 16, 0.0020748639739350976,[3;2;1]
Ane_Firman, 1, 0, 4.0, 0, 0.0, 0.0, 3.437316521488041, 397.64066641423705, 36.08045104710007, 0.0, 1406.9114583333333, 1, 0, 0.002843107131090191,[3]
AppSame, 5, 31, 38004.25, 34, 0.0, 0.0, 0.5527318189978588, 5.350720890607928, 61.496356960716895, 0.0, 1901.6815856481483, 2, 22, 19.984549614833153,[1;2]
AreaWANITA, 9, 0, 101.0, 0, 0.0, 0.0, 0.2868195421341712, 131535.49206349204, 39.509686687552836, 0.0, 2115.0492824074076, 1, 0, 0.0477530244047264,[3]
AskPlayStation, 183, 0, 1.0, 181, 0.0, 0.0, 1.4100830836510845, 333.1243714688665, 215.56721279903957, 0.0, 2143.153148148148, 1, 94, 0.0004666022121956512,[5]
BanotatCafe, 1, 14, 16.0, 14, 0.0, 0.0, 0.36712053019241286, 1.4975653907956485, 24.39380617899737, 0.0, 1043.4246296296294, 1, 0, 0.01533412145511584,[2]
Bolanet, 49, 0, 10.204081632653061, 3, 0.0, 0.0, 0.6480349777187244, 2549.6796633840945, 119.32742795867944, 0.0, 2349.405810185185, 3, 29, 0.004343260576106583,[3;4;0]
BoletinViajes, 7, 0, 126.0, 0, 0.0, 0.0, 1.3279177655799208, 2.6038032893182472, 22.588051619658966, 0.0, 2301.917824074074, 1, 7, 0.054736967011705724,[3]
BuatSeseorang, 15, 15, 15.0, 15, 0.0, 0.0, 0.32785678528974765, 152529.5285714286, 161.84590539071488, 0.0, 2128.094189814815, 2, 15, 0.007048560196156209,[3;0]
BuyDotExpress, 97, 5, 1807.1764705882354, 2, 0.0, 0.0, 0.8037651983604158, 51.543368229026186, 229.3370452047859, 0.0, 242.06203703703702, 2, 102, 7.465757508732053,[5;1]
CaioFAbreuCitou, 1, 10, 167.72727272727272, 10, 0.0, 0.0, 1.315528743958511, 4535.558010495808, 31.46126645691696, 0.0, 2390.075601851852, 2, 8, 0.07017655533461625,[3;2]
CanadiensMTL, 5, 0, 132.6, 2, 0.0, 0.0, 2.4912573725435108, 6193.737707805015, 34.57812106681403, 0.0, 2630.1063425925927, 3, 5, 0.05041621239895999,[1;4;0]
CanalFox_la, 3, 0, 2774.6666666666665, 1, 0.0, 0.0, 0.7661746486767482, 12.667566813587294, 14.516897354845026, 0.0, 2491.165833333333, 1, 3, 1.113802473339959,[3]
CaptainAmerica, 4881, 17, 324.0, 4897, 0.0, 0.0, 1.9441330146734894, 35234.28623928114, 187.62830094496863, 0.0, 1369.1897453703705, 2, 4898, 0.2366363034017297,[5;0]
Carabdechile, 16, 0, 4.6875, 0, 0.0, 0.0, 1.0879273508506337, 1042356.0625, 35.22480883215167, 0.0, 2231.064085648148, 5, 13, 0.0021010153989540065,[3;2;1;4]
CentralParkMall, 3, 0, 25.0, 0, 0.0, 0.0, 0.11954399526602753, 713.5884469572665, 13.907190238333621, 0.0, 2210.0761805555558, 2, 3, 0.011311827266386649,[2;0]
Channel4News, 3, 1, 370.25, 2, 0.0, 0.0, 2.6006493446894017, 347.97593123272475, 27.72877440789769, 0.0, 2924.1700115740737, 1, 3, 0.12661712504215694,[1]
ChiIIVlbes, 9, 29, 3.6842105263157894, 29, 0.0, 0.0, 1.1135852013408947, 12085.151741060663, 24.957749940166792, 0.0, 870.5057291666667, 2, 27, 0.004232264536435247,[2;4]
CiudadBizarra, 12, 0, 40.0, 0, 0.0, 0.0, 1.7387691606484224, 1.9656990318085714, 69.99770857995115, 0.0, 2376.0388541666666, 3, 6, 0.016834741540465655,[4;1;0]
ColorsTV, 8, 4, 947.8333333333334, 11, 0.0, 0.0, 0.24759729832576371, 1380.9721442737844, 30.174680139643783, 0.0, 2668.427847222222, 3, 11, 0.35520290882888517,[3;1;2]
ComplexMag, 19, 5, 7640.458333333333, 10, 0.0, 0.0, 2.2990691110640125, 24.6550825832187, 82.22888819883845, 0.0, 2980.332118055556, 4, 23, 2.563626478755717,[4;1;3;2]
Converse, 1, 0, 3009.0, 1, 0.0, 0.0, 0.9481357958039194, 3319.905844155844, 4.043434501489945, 0.0, 2056.6674189814817, 1, 1, 1.4630464664482017,[0]
Country_Voices, 4, 0, 3243.0, 0, 0.0, 0.0, 0.41369404101169754, 263.122444853952, 18.26244937579405, 0.0, 1541.8379976851854, 1, 0, 2.103333816437802,[4]
Country_Words, 8, 2, 600.2, 3, 0.0, 0.0, 0.5336909972851722, 1300.3195249374098, 28.50962929285716, 0.0, 1551.0421064814816, 2, 4, 0.3869656390963787,[2;4]
Cruz_Azul_FC, 2, 1, 7373.666666666667, 2, 0.0, 0.0, 1.0339175245590873, 39425.681159420295, 10.460237223811577, 0.0, 2471.041724537037, 1, 1, 2.984031630646853,[4]
DDNewsLive, 16, 4, 32.05, 5, 0.0, 0.0, 1.2949771848624148, 48785.01434210527, 69.34910567026301, 0.0, 1169.9161689814816, 1, 10, 0.027395125266028622,[1]
